title,url,description,category,publish_time,image_url,is_new,scraped_at
BISHENG灵思 – 毕昇推出的开源通用AI Agent，基于AGL框架,https://ai-bot.cn/bisheng-linsight/,BISHENG灵思是毕昇推出的开源通用AI Agent，通过结合业务专家的知识和经验，帮助用户快速、高效地完成复杂任务。创新地提出了AGL（Agent指导语言）框架，将业...,AI工具,5小时前,https://ai-bot.cn/wp-content/uploads/2025/08/linsight-website-1.png,False,2025-08-14 20:17:09
nFactorial AI – AI在线学习平台，可与特定专家虚拟视频通话,https://ai-bot.cn/nfactorial-ai/,nFactorial AI 是创新的在线学习平台，基于 AI 技术让用户能与世界顶尖的思想家和专家进行虚拟的 1v1 视频通话，仿佛大师是他们的私人导师。用户能选择与 Pau...,AI工具,8小时前,https://ai-bot.cn/wp-content/uploads/2025/08/nFactorial-AI-webiste.png,False,2025-08-14 20:17:09
Skywork Deep Research Agent v2 – 昆仑万维推出的升级版深度研究智能体,https://ai-bot.cn/skywork-deep-research-agent-v2/,Skywork Deep Research Agent v2是昆仑万维推出的升级版深度研究智能体，作为天工超级智能体的核心引擎，具备多模态深度调研能力，首次整合多模态检索、理解...,AI工具,8小时前,https://ai-bot.cn/wp-content/uploads/2025/08/Skywork-Deep-Research-Agent-v2-website.png,False,2025-08-14 20:17:09
北京大学《从AI工具到“最佳拍档”V10》（PDF文件）,https://ai-bot.cn/ai-column-2025081401/,《从AI工具到“最佳拍档”V10》是北京大学AI肖睿团队编写的，系统介绍了如何将各类AI工具协同应用在实际场景。报告首先对11款主流AI Agent，Manus、Skywork、Ge...,AI专栏,9小时前,https://ai-bot.cn/wp-content/uploads/2025/08/未命名_20250729153740-2025-08-13T164207.843.png,False,2025-08-14 20:17:09
爱图表重磅升级 – AI秒生图表+自动写报告，新功能来了,https://ai-bot.cn/aitubiao-data/,爱图表（aitubiao.com）就是AI图表，是由镝数科技推出的一款创新的智能数据可视化和分析工具，专注于为用户提供便捷的图表生成、数据分析和报告撰写服务。202...,AI工具,9小时前,https://ai-bot.cn/wp-content/uploads/2025/08/aitubiao-data.png,False,2025-08-14 20:17:09
hunyuan-large-vision – 腾讯混元推出的多模态视觉理解模型,https://ai-bot.cn/hunyuan-large-vision/,hunyuan-large-vision 是腾讯推出的多模态理解模型，基于MoE架构，激活参数达52B，支持图像、视频和3D空间输入。模型在国际知名的大模型竞技场“LMArena Visio...,AI工具,10小时前,https://ai-bot.cn/wp-content/uploads/2025/08/hunyuan-large-vision-website.png,False,2025-08-14 20:17:09
花生AI – B站推出AI视频创作工具,https://ai-bot.cn/inno-video/,花生AI是B站推出的AI视频创作工具，帮助用户快速生成视频内容。用户只需提供文案或录制好的音频，最快3分钟即可生成完整视频。工具提供两种创作模式：智能匹...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/inno-video-website.png,False,2025-08-14 20:17:09
GemDesign – AI原型设计工具，自动补充交互断层,https://ai-bot.cn/gemdesign/,GemDesign是基于人工智能的高保真原型设计工具，帮助用户快速将想法转化为专业的设计界面和交互原型。通过文生界面和图生界面功能，可以通过文字描述或上传草...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/GemDesign-website.png,False,2025-08-14 20:17:09
Seele AI邀请码 – 如何获取Seele AI邀请码？附免费领取攻略,https://ai-bot.cn/ai-tutorials-2025081401/,Seele AI 是全球首个端到端AI 3D游戏生成工具。基于大模型技术，实现从文本输入到完整3D游戏的自动化生成，支持多模态交互。核心优势在于100%自主的AI引擎，...,AI教程,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Seele-AI-website.png,False,2025-08-14 20:17:09
Floot – 无代码AI Web应用开发平台，提供全栈集成,https://ai-bot.cn/floot/,Floot 是面向创业者和非技术用户的无代码 Web 应用开发平台，通过人工智能技术帮助用户快速将想法转化为实际应用。用户只需通过聊天描述需求，Floot 的 AI 能...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Floot-website.png,False,2025-08-14 20:17:09
LinkMind – AI内容创作平台，支持跨平台灵感采集,https://ai-bot.cn/linkmind/,LinkMind是AI驱动的内容创作平台，专为内容创作者设计。平台支持跨平台灵感采集，支持一键从TikTok、Instagram、YouTube等平台保存素材到灵感库，提供无水印...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/LinkMind-website.png,False,2025-08-14 20:17:12
MIT公开课《如何用AI做任何事》（PDF文件）,https://ai-bot.cn/ai-column-20250801301/,《如何用AI做任何事》是麻省理工学院推出的前沿课程，旨在深入探索人工智能技术及在多种真实世界数据模态中的应用。课程聚焦现代深度学习和基础模型，涵盖从...,AI专栏,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/未命名_20250729153740-80-1.png,False,2025-08-14 20:17:12
Voost – 创新的双向虚拟试穿和试脱AI模型,https://ai-bot.cn/voost/,Voost 是NXN实验室推出创新的虚拟试穿和试脱模型，基于统一且可扩展的扩散 Transformer（DiT）框架开发。能同时处理虚拟试穿（try-on）和试脱（try-off）任务...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Voost-website.png,False,2025-08-14 20:17:12
Skywork UniPic 2.0 – 昆仑万维开源的统一多模态模型,https://ai-bot.cn/skywork-unipic-2-0/,Skywork UniPic 2.0 是昆仑万维开源的高效多模态模型，专注于统一的图像生成、编辑和理解能力。模型基于2B参数的SD3.5-Medium架构，通过预训练、渐进式双任务...,AI工具,1天前,https://ai-bot.cn/wp-content/uploads/2025/08/Skywork-UniPic-2.0-website-2.png,False,2025-08-14 20:17:12
OpenAI推出GPT-5官方提示工程词指南,https://ai-bot.cn/ai-tutorials-2025081201/,《GPT-5工程词指南》是OpenAI针对最新旗舰模型发布的官方技术文档，主要面向开发者和技术团队。指南系统性地介绍如何通过优化提示设计来充分发挥GPT-5在代理...,AI专栏,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/未命名_20250729153740-95.png,False,2025-08-14 20:17:12
Anthropic CEO最新演讲解读：三年营收破 45 亿，到底做对了什么？,https://ai-bot.cn/ai-column-2025081101/,最近，Anthropic CEO Dario Amodei 在采访中正面回应：我不是“末日论者”，我是最懂 AI 技术好处的人之一。Dario Amodei 是普林斯顿生物物理学博士，读博期间...,AI专栏,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/Dario-Amodei-1-2.png,False,2025-08-14 20:17:12
《2025年第一季度AI应用报告》（PDF文件）,https://ai-bot.cn/ai-column-20250801201/,《2025年第一季度AI应用报告》主要分析了2025年上半年全球各大企业对大模型是如何使用大模型的，今年和去年有哪些不同。报告指出，约45%的组织已在生产环境中...,AI专栏,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/未命名_20250729153740-85.png,False,2025-08-14 20:17:12
AI Sheets – Hugging Face开源的无代码数据处理工具,https://ai-bot.cn/ai-sheets/,AI Sheets 是 Hugging Face 开源的无代码数据处理工具，提供类似 Excel 的界面，让用户通过自然语言提示轻松调用数千种开源 AI 模型，完成数据的构建、丰富和...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/AI-Sheets-website.png,False,2025-08-14 20:17:12
Matrix-3D – 昆仑万维开源的3D世界模型,https://ai-bot.cn/matrix-3d/,Matrix-3D 是昆仑万维 Skywork AI 团队推出的用在生成可探索全景3D世界的框架。框架结合全景视频生成与3D重建，从单图像或文本提示出发，生成高质量、全向可...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/Matrix-3D-website.png,False,2025-08-14 20:17:12
RynnEC – 阿里达摩院推出的世界理解模型,https://ai-bot.cn/rynnec/,RynnEC是阿里巴巴达摩院推出的世界理解模型 （MLLM），专门用在具身认知任务。模型能从位置、功能、数量等11个维度全面解析场景中的物体，支持物体理解、空间...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/RynnEC-website-1.png,False,2025-08-14 20:17:12
RynnRCP – 阿里达摩院开源的机器人上下文协议,https://ai-bot.cn/rynnrcp/,RynnRCP 是阿里达摩院开源的机器人上下文协议（Robotics Context Protocol），能打通具身智能开发全流程。RynnRCP 包含 RCP 框架 和 RobotMotion 两大模块，...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/RynnRCP-website1.png,False,2025-08-14 20:17:14
会PPT – AI PPT生成工具，自动校验数据准确性,https://ai-bot.cn/huippt/,会PPT（huiPPT）是智能AI办公工具，能一键生成PPT。用户只需输入主题或关键词，系统能快速生成逻辑清晰、设计精美的演示文稿。工具混合模型架构，结合本地和...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/huiPPT-website.png,False,2025-08-14 20:17:14
RynnVLA-001 – 阿里达摩院开源的视觉-语言-动作模型,https://ai-bot.cn/rynnvla-001/,RynnVLA-001 是阿里达摩院推出的视觉-语言-动作模型。模型通过在大量第一人称视角的视频上进行预训练，学习人类操作技能，并隐式迁移到机器人手臂的操控中。,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/RynnVLA-001-website.png,False,2025-08-14 20:17:14
Matrix-Game 2.0 – 昆仑万维推出的自研世界模型,https://ai-bot.cn/matrix-game-2-0/,Matrix-Game 2.0 是昆仑万维 SkyWork AI 发布的自研世界模型。是业内首个开源的通用场景实时长序列交互式生成模型，全面开源，推动交互式世界模型领域的发展...,AI工具,2天前,https://ai-bot.cn/wp-content/uploads/2025/08/Matrix-Game-2.0-website.png,False,2025-08-14 20:17:14
GLM-4.5V – 智谱开源的最新一代视觉推理模型,https://ai-bot.cn/glm-4-5v/,GLM-4.5V是智谱开源的最新一代视觉推理模型。模型基于106B参数规模构建，拥有12B激活能力，是目前领先的视觉语言模型（VLM）。模型在GLM-4.1V-Thinking的基础...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/GLM-4.5V-webiste.png,False,2025-08-14 20:17:14
Sheet0 – L4级Data Agent，将任意数据源转为结构化数据表,https://ai-bot.cn/sheet0/,Sheet0 是创新的 L4 级 Data Agent 产品，为用户提供高效、准确的数据收集与处理服务。通过自然语言交互，将任意数据源（如网页、文件、API）转化为结构化的...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/Sheet0-website.png,False,2025-08-14 20:17:14
MiroFlow – 多Agent系统开发框架，支持高并发处理,https://ai-bot.cn/miroflow/,MiroFlow是强大的多智能体系统开发框架，专为构建复杂、高性能的AI智能体而设计，为MiroThinker等模型生成高质量的智能体轨迹数据。框架具备可复现的性能，在...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/MiroFlow-website.png,False,2025-08-14 20:17:14
MiroThinker – 开源的Agent模型系列，基于Qwen3构建,https://ai-bot.cn/mirothinker/,MiroThinker 是开源的智能体模型系列，专为深度研究和复杂、长期问题解决而设计。模型基于 Qwen3 构建，具备任务分解、多跳推理、检索增强生成、代码执行、网...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/MiroThinker-website.png,False,2025-08-14 20:17:14
Scribe – AI文档生成工具，自动捕捉生成操作指南和教程,https://ai-bot.cn/scribehow/,Scribe 是 ScribeHow 推出的 AI 辅助工具，支持快速生成操作指南和教程。工具自动记录用户在网页或桌面应用中的操作步骤，捕捉鼠标点击和屏幕截图，能生成详...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/Scribe-website.png,False,2025-08-14 20:17:14
Baichuan-M2 – 百川智能推出的开源医疗增强大模型,https://ai-bot.cn/baichuan-m2/,Baichuan-M2 是百川智能推出的开源医疗增强大模型。在医疗领域表现卓越，于HealthBench评测中以60.1分超越OpenAI的gpt-oss120b等众多开源模型，登顶世界第一...,AI工具,3天前,https://ai-bot.cn/wp-content/uploads/2025/08/Baichuan-M2-website.png,False,2025-08-14 20:17:14
